sentence_type,label,type_of_class,classes
hide new secretions from the parental units ,negative,sentiment,"['negative', 'positive']"
"contains no wit , only labored gags ",negative,sentiment,"['negative', 'positive']"
that loves its characters and communicates something rather beautiful about human nature ,positive,sentiment,"['negative', 'positive']"
remains utterly satisfied to remain the same throughout ,negative,sentiment,"['negative', 'positive']"
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,negative,sentiment,"['negative', 'positive']"
that 's far too tragic to merit such superficial treatment ,negative,sentiment,"['negative', 'positive']"
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",positive,sentiment,"['negative', 'positive']"
of saucy ,positive,sentiment,"['negative', 'positive']"
a depressed fifteen-year-old 's suicidal poetry ,negative,sentiment,"['negative', 'positive']"
are more deeply thought through than in most ` right-thinking ' films ,positive,sentiment,"['negative', 'positive']"
goes to absurd lengths ,negative,sentiment,"['negative', 'positive']"
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,negative,sentiment,"['negative', 'positive']"
"the part where nothing 's happening , ",negative,sentiment,"['negative', 'positive']"
saw how bad this movie was ,negative,sentiment,"['negative', 'positive']"
lend some dignity to a dumb story ,negative,sentiment,"['negative', 'positive']"
the greatest musicians ,positive,sentiment,"['negative', 'positive']"
cold movie ,negative,sentiment,"['negative', 'positive']"
with his usual intelligence and subtlety ,positive,sentiment,"['negative', 'positive']"
redundant concept ,negative,sentiment,"['negative', 'positive']"
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",positive,sentiment,"['negative', 'positive']"
equals the original and in some ways even betters it ,positive,sentiment,"['negative', 'positive']"
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",positive,sentiment,"['negative', 'positive']"
a smile on your face ,positive,sentiment,"['negative', 'positive']"
"comes from the brave , uninhibited performances ",positive,sentiment,"['negative', 'positive']"
excruciatingly unfunny and pitifully unromantic ,negative,sentiment,"['negative', 'positive']"
enriched by an imaginatively mixed cast of antic spirits ,positive,sentiment,"['negative', 'positive']"
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",negative,sentiment,"['negative', 'positive']"
in world cinema ,positive,sentiment,"['negative', 'positive']"
very good viewing alternative ,positive,sentiment,"['negative', 'positive']"
"the plot is nothing but boilerplate clichés from start to finish , ",negative,sentiment,"['negative', 'positive']"
the action is stilted ,negative,sentiment,"['negative', 'positive']"
on all cylinders ,positive,sentiment,"['negative', 'positive']"
"will find little of interest in this film , which is often preachy and poorly acted ",negative,sentiment,"['negative', 'positive']"
by far the worst movie of the year ,negative,sentiment,"['negative', 'positive']"
"sit through , ",negative,sentiment,"['negative', 'positive']"
more than another `` best man '' clone by weaving a theme throughout this funny film ,positive,sentiment,"['negative', 'positive']"
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,positive,sentiment,"['negative', 'positive']"
heroes ,positive,sentiment,"['negative', 'positive']"
oblivious to the existence of this film ,negative,sentiment,"['negative', 'positive']"
sharply ,positive,sentiment,"['negative', 'positive']"
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",negative,sentiment,"['negative', 'positive']"
sometimes dry ,negative,sentiment,"['negative', 'positive']"
"as they come , already having been recycled more times than i 'd care to count ",negative,sentiment,"['negative', 'positive']"
"covers this territory with wit and originality , suggesting that with his fourth feature ",positive,sentiment,"['negative', 'positive']"
a $ 40 million version of a game ,negative,sentiment,"['negative', 'positive']"
gorgeous and deceptively minimalist ,positive,sentiment,"['negative', 'positive']"
cross swords with the best of them and ,positive,sentiment,"['negative', 'positive']"
as a fringe feminist conspiracy theorist ,negative,sentiment,"['negative', 'positive']"
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",positive,sentiment,"['negative', 'positive']"
disappointments ,negative,sentiment,"['negative', 'positive']"
