premise_type,hypothesis_type,label,type_of_class,classes
Conceptually cream skimming has two basic dimensions - product and geography.,Product and geography are what make cream skimming work. ,neutral,entailment,"['entailment', 'neutral']"
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,You lose the things to the following level if the people recall.,entailment,entailment,"['entailment', 'neutral']"
One of our number will carry out your instructions minutely.,A member of my team will execute your orders with immense precision.,entailment,entailment,"['entailment', 'neutral']"
How do you know? All this is their information again.,This information belongs to them.,entailment,entailment,"['entailment', 'neutral']"
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,The tennis shoes have a range of prices.,neutral,entailment,"['entailment', 'neutral']"
my walkman broke so i'm upset now i just have to turn the stereo up real loud,I'm upset that my walkman broke and now I have to turn the stereo up really loud.,entailment,entailment,"['entailment', 'neutral']"
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).",Most of the Christian mosaics were destroyed by Muslims.  ,neutral,entailment,"['entailment', 'neutral']"
(Read  for Slate 's take on Jackson's findings.),Slate had an opinion on Jackson's findings.,entailment,entailment,"['entailment', 'neutral']"
Gays and lesbians.,Heterosexuals.,2,entailment,"['entailment', 'neutral']"
"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.",Place des Vosges is constructed entirely of gray marble.,2,entailment,"['entailment', 'neutral']"
"I burst through a set of cabin doors, and fell to the ground-",I burst through the doors and fell down.,entailment,entailment,"['entailment', 'neutral']"
Fun for adults and children.,Fun for only children.,2,entailment,"['entailment', 'neutral']"
It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,All of the questions were interesting according to a focus group consulted on the subject.,neutral,entailment,"['entailment', 'neutral']"
"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.",The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital. ,neutral,entailment,"['entailment', 'neutral']"
"I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.",I am concerned more about your issues than the near-term rate implications.,2,entailment,"['entailment', 'neutral']"
Issues in Data Synthesis.,Problems in data synthesis.,entailment,entailment,"['entailment', 'neutral']"
well you see that on television also,"You can see that on television, as well.",entailment,entailment,"['entailment', 'neutral']"
Vrenna and I both fought him and he nearly took us.,Neither Vrenna nor myself have ever fought him.,2,entailment,"['entailment', 'neutral']"
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.,The analysis proves that there is no link between PM and bronchitis.,2,entailment,"['entailment', 'neutral']"
He turned and smiled at Vrenna.,He smiled at Vrenna who was walking slowly behind him with her mother.,neutral,entailment,"['entailment', 'neutral']"
We sought to identify practices that were commonly implemented by the agencies within the past 5 years.,We want to identify practices commonly used by agencies in the last 5 years,entailment,entailment,"['entailment', 'neutral']"
The other men shuffled.,The other men were shuffled around.,entailment,entailment,"['entailment', 'neutral']"
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.,Itis not necessary for there to be any improvement.,2,entailment,"['entailment', 'neutral']"
well it's been very interesting,It has been very intriguing.,entailment,entailment,"['entailment', 'neutral']"
He started slowly back to the bunkhouse.,He returned slowly to the bunkhouse.,entailment,entailment,"['entailment', 'neutral']"
and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes,I do not know exactly where the local taxes go.,neutral,entailment,"['entailment', 'neutral']"
"They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme.",The recipe passed down from Mallorcan ancestors is known to everyone.,2,entailment,"['entailment', 'neutral']"
