text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
Conceptually cream skimming has two basic dimensions - product and geography.,premise,Product and geography are what make cream skimming work. ,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,premise,You lose the things to the following level if the people recall.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
One of our number will carry out your instructions minutely.,premise,A member of my team will execute your orders with immense precision.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
How do you know? All this is their information again.,premise,This information belongs to them.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,premise,The tennis shoes have a range of prices.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
my walkman broke so i'm upset now i just have to turn the stereo up real loud,premise,I'm upset that my walkman broke and now I have to turn the stereo up really loud.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).",premise,Most of the Christian mosaics were destroyed by Muslims.  ,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
(Read  for Slate 's take on Jackson's findings.),premise,Slate had an opinion on Jackson's findings.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
Gays and lesbians.,premise,Heterosexuals.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.",premise,Place des Vosges is constructed entirely of gray marble.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
Fun for adults and children.,premise,Fun for only children.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,premise,All of the questions were interesting according to a focus group consulted on the subject.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.",premise,The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital. ,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
Issues in Data Synthesis.,premise,Problems in data synthesis.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
well you see that on television also,premise,"You can see that on television, as well.",hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.,premise,The analysis proves that there is no link between PM and bronchitis.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
He turned and smiled at Vrenna.,premise,He smiled at Vrenna who was walking slowly behind him with her mother.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
We sought to identify practices that were commonly implemented by the agencies within the past 5 years.,premise,We want to identify practices commonly used by agencies in the last 5 years,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
The other men shuffled.,premise,The other men were shuffled around.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.,premise,Itis not necessary for there to be any improvement.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
well it's been very interesting,premise,It has been very intriguing.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
He started slowly back to the bunkhouse.,premise,He returned slowly to the bunkhouse.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes,premise,I do not know exactly where the local taxes go.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
"They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme.",premise,The recipe passed down from Mallorcan ancestors is known to everyone.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
yeah well you're a student right,premise,Well you're a mechanics student right?,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just,premise,It's unfortunate that nobody is organizing a child abuse campaign.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
Postal Service were to reduce delivery frequency.,premise,The postal service could deliver less frequently.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
"And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable.",premise,Another shift in the economy was found to be more nutritious.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized.,premise,The rule has data collection requirements which aid the EPA to realize their emission control goals.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
"Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military.",premise,There are no castles Atalaya and Galeras.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
Were they in there?,premise,Were they supposed to be in there?,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,neutral
"Felicia's Journey takes place behind the eyes of its central  a young Irish girl, Felicia, who crosses the sea to England in a hopeful quest to find the father of her unborn child; and the fat, middle-aged catering manager, Hiditch, who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip.",premise,The woman did not care where the man was as long as it was far.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
"In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind.",premise,"The remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille are all interred in the crypt.",hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson,premise,I can't remember their name,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,entailment
"Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room. ",premise,Poirot was now back and I was sorry that he would take over what I now considered my own investigation. ,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
"The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity.",premise,Aswan's meaning has not changed over time.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
well what the market can bear and,premise,THe market can't bear any of it.,hypothesis,"['entailment', 'neutral', 'contradiction']",entailment,contradiction
