text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
When did the third Digimon series begin?,question,"Unlike the two seasons before it and most of the seasons that followed, Digimon Tamers takes a darker and more realistic approach to its story featuring Digimon who do not reincarnate after their deaths and more complex character development in the original Japanese.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Which missile batteries often have individual launchers several kilometres from one another?,question,"When MANPADS is operated by specialists, batteries may have several dozen teams deploying separately in small sections; self-propelled air defence guns may deploy in pairs.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What two things does Popper argue Tarski's theory involves in an evaluation of truth?,question,He bases this interpretation on the fact that examples such as the one described above refer to two things: assertions and the facts to which they refer.,sentence,"['entailment', 'not entailment']",entailment,entailment
What is the name of the village 9 miles north of Calafat where the Ottoman forces attacked the Russians?,question,"On 31 December 1853, the Ottoman forces at Calafat moved against the Russian force at Chetatea or Cetate, a small village nine miles north of Calafat, and engaged them on 6 January 1854.",sentence,"['entailment', 'not entailment']",entailment,entailment
What famous palace is located in London?,question,"London contains four World Heritage Sites: the Tower of London; Kew Gardens; the site comprising the Palace of Westminster, Westminster Abbey, and St Margaret's Church; and the historic settlement of Greenwich (in which the Royal Observatory, Greenwich marks the Prime Meridian, 0° longitude, and GMT).",sentence,"['entailment', 'not entailment']",entailment,not entailment
When is the term 'German dialects' used in regard to the German language?,question,"When talking about the German language, the term German dialects is only used for the traditional regional varieties.",sentence,"['entailment', 'not entailment']",entailment,entailment
What was the name of the island the English traded to the Dutch in return for New Amsterdam?,question,"At the end of the Second Anglo-Dutch War, the English gained New Amsterdam (New York) in North America in exchange for Dutch control of Run, an Indonesian island.",sentence,"['entailment', 'not entailment']",entailment,entailment
How were the Portuguese expelled from Myanmar?,question,"From the 1720s onward, the kingdom was beset with repeated Meithei raids into Upper Myanmar and a nagging rebellion in Lan Na.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What does the word 'customer' properly apply to?,question,"The bill also required rotation of principal maintenance inspectors and stipulated that the word ""customer"" properly applies to the flying public, not those entities regulated by the FAA.",sentence,"['entailment', 'not entailment']",entailment,entailment
What did Arsenal consider the yellow and blue colors to be after losing a FA Cup final wearing red and white?,question,"Arsenal then competed in three consecutive FA Cup finals between 1978 and 1980 wearing their ""lucky"" yellow and blue strip, which remained the club's away strip until the release of a green and navy away kit in 1982–83.",sentence,"['entailment', 'not entailment']",entailment,entailment
Who starred in 'True Love'?,question,"The show starred Ted Danson as Dr. John Becker, a doctor who operated a small practice and was constantly annoyed by his patients, co-workers, friends, and practically everything and everybody else in his world.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Who was elected as the Watch Tower Society's president in January of 1917?,question,"His election was disputed, and members of the Board of Directors accused him of acting in an autocratic and secretive manner.",sentence,"['entailment', 'not entailment']",entailment,not entailment
What do most open education sources offer?,question,"The conventional merit-system degree is currently not as common in open education as it is in campus universities, although some open universities do already offer conventional degrees such as the Open University in the United Kingdom.",sentence,"['entailment', 'not entailment']",entailment,not entailment
Which collection of minor poems are sometimes attributed to Virgil?,question,"A number of minor poems, collected in the Appendix Vergiliana, are sometimes attributed to him.",sentence,"['entailment', 'not entailment']",entailment,entailment
"While looking for bugs, what else can testing do?",question,"Although testing can determine the correctness of software under the assumption of some specific hypotheses (see hierarchy of testing difficulty below), testing cannot identify all the defects within software.",sentence,"['entailment', 'not entailment']",entailment,not entailment
How much hydroelectric power can be generated?,question,The state is also the first state in India to achieve the goal of having a bank account for every family.[citation needed],sentence,"['entailment', 'not entailment']",entailment,not entailment
What two people were killed inside the store?,question,"The dead included two men from Northern California who had merely been visiting the store's owner, their cousin, to see if they could open a similar store in their area.",sentence,"['entailment', 'not entailment']",entailment,not entailment
How is Nirvana achieved?,question,"In Theravada Buddhism, the ultimate goal is the attainment of the sublime state of Nirvana, achieved by practicing the Noble Eightfold Path (also known as the Middle Way), thus escaping what is seen as a cycle of suffering and rebirth.",sentence,"['entailment', 'not entailment']",entailment,entailment
