text,text_type,classes,type_of_class,label
hide new secretions from the parental units ,sentence,"['negative', 'positive']",sentiment,negative
"contains no wit , only labored gags ",sentence,"['negative', 'positive']",sentiment,negative
that loves its characters and communicates something rather beautiful about human nature ,sentence,"['negative', 'positive']",sentiment,positive
remains utterly satisfied to remain the same throughout ,sentence,"['negative', 'positive']",sentiment,negative
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,sentence,"['negative', 'positive']",sentiment,negative
that 's far too tragic to merit such superficial treatment ,sentence,"['negative', 'positive']",sentiment,negative
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",sentence,"['negative', 'positive']",sentiment,positive
of saucy ,sentence,"['negative', 'positive']",sentiment,positive
a depressed fifteen-year-old 's suicidal poetry ,sentence,"['negative', 'positive']",sentiment,negative
are more deeply thought through than in most ` right-thinking ' films ,sentence,"['negative', 'positive']",sentiment,positive
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,sentence,"['negative', 'positive']",sentiment,negative
"the part where nothing 's happening , ",sentence,"['negative', 'positive']",sentiment,negative
saw how bad this movie was ,sentence,"['negative', 'positive']",sentiment,negative
the greatest musicians ,sentence,"['negative', 'positive']",sentiment,positive
cold movie ,sentence,"['negative', 'positive']",sentiment,negative
redundant concept ,sentence,"['negative', 'positive']",sentiment,negative
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",sentence,"['negative', 'positive']",sentiment,positive
equals the original and in some ways even betters it ,sentence,"['negative', 'positive']",sentiment,positive
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",sentence,"['negative', 'positive']",sentiment,positive
a smile on your face ,sentence,"['negative', 'positive']",sentiment,positive
"comes from the brave , uninhibited performances ",sentence,"['negative', 'positive']",sentiment,positive
excruciatingly unfunny and pitifully unromantic ,sentence,"['negative', 'positive']",sentiment,negative
enriched by an imaginatively mixed cast of antic spirits ,sentence,"['negative', 'positive']",sentiment,positive
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",sentence,"['negative', 'positive']",sentiment,negative
in world cinema ,sentence,"['negative', 'positive']",sentiment,positive
very good viewing alternative ,sentence,"['negative', 'positive']",sentiment,positive
"the plot is nothing but boilerplate clichés from start to finish , ",sentence,"['negative', 'positive']",sentiment,negative
the action is stilted ,sentence,"['negative', 'positive']",sentiment,negative
on all cylinders ,sentence,"['negative', 'positive']",sentiment,positive
"will find little of interest in this film , which is often preachy and poorly acted ",sentence,"['negative', 'positive']",sentiment,negative
by far the worst movie of the year ,sentence,"['negative', 'positive']",sentiment,negative
"sit through , ",sentence,"['negative', 'positive']",sentiment,negative
more than another `` best man '' clone by weaving a theme throughout this funny film ,sentence,"['negative', 'positive']",sentiment,positive
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,sentence,"['negative', 'positive']",sentiment,positive
heroes ,sentence,"['negative', 'positive']",sentiment,positive
oblivious to the existence of this film ,sentence,"['negative', 'positive']",sentiment,negative
sharply ,sentence,"['negative', 'positive']",sentiment,positive
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",sentence,"['negative', 'positive']",sentiment,negative
sometimes dry ,sentence,"['negative', 'positive']",sentiment,negative
"as they come , already having been recycled more times than i 'd care to count ",sentence,"['negative', 'positive']",sentiment,negative
"covers this territory with wit and originality , suggesting that with his fourth feature ",sentence,"['negative', 'positive']",sentiment,positive
a $ 40 million version of a game ,sentence,"['negative', 'positive']",sentiment,negative
gorgeous and deceptively minimalist ,sentence,"['negative', 'positive']",sentiment,positive
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",sentence,"['negative', 'positive']",sentiment,positive
disappointments ,sentence,"['negative', 'positive']",sentiment,negative
the horrors ,sentence,"['negative', 'positive']",sentiment,negative
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,sentence,"['negative', 'positive']",sentiment,positive
many pointless ,sentence,"['negative', 'positive']",sentiment,negative
a beautifully ,sentence,"['negative', 'positive']",sentiment,positive
"contrived , well-worn situations ",sentence,"['negative', 'positive']",sentiment,negative
