sentence1,sentence2,label,sentence1_type,sentence2_type,type_of_class,classes
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",entailment,text,text,entailment,"['entailment', 'not_entailment']"
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
I poured water from the bottle into the cup until it was empty.,The cup was empty.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,not_entailment,text,text,entailment,"['entailment', 'not_entailment']"
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,entailment,text,text,entailment,"['entailment', 'not_entailment']"
