text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .",sentence,"Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion .,sentence,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .",sentence,"On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .",sentence,"Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .",sentence,PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,sentence,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .",sentence,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
The DVD-CCA then appealed to the state Supreme Court .,sentence,The DVD CCA appealed that decision to the U.S. Supreme Court .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,equivalent
"That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .",sentence,Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
"Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .",sentence,"Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March .,sentence,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",sentence,"['not equivalent', 'equivalent']",semantic equivalence,not equivalent
