text_a,text_a_type,text_b,text_b_type,classes,type_of_relation,label
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",premise,The carrot had a hole.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
John couldn't see the stage with Billy in front of him because he is so short.,premise,John is so short.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,premise,The police were trying to stop the drug trade in the neighborhood.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Steve follows Fred's example in everything. He influences him hugely.,premise,Steve influences him hugely.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.",premise,"mother was careful not to disturb her, undressing and climbing back into her berth.",hypothesis,"['entailment', 'not entailment']",entailment,entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",premise,George was particularly eager to see it.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,premise,John was very impressive.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
I couldn't put the pot on the shelf because it was too tall.,premise,The pot was too tall.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",premise,There were simply not enough copies of the newsletter.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,premise,The judges were so advanced.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
The table won't fit through the doorway because it is too narrow.,premise,The table is too narrow.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
I took the water bottle out of the backpack so that it would be handy.,premise,I took the water bottle out of the backpack so that the backpack would be handy.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
The firemen arrived after the police because they were coming from so far away.,premise,The police were coming from so far away.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
I poured water from the bottle into the cup until it was empty.,premise,The cup was empty.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,premise,The cake has a lot of butter in it.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,premise,The foxes have gotten very bold.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.",premise,"The piano was broken, so he had to stand instead.",hypothesis,"['entailment', 'not entailment']",entailment,entailment
Jane knocked on Susan's door but she did not get an answer.,premise,Susan did not get an answer.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",premise,Adam would have won.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
I put the butterfly wing on the table and it broke.,premise,The table broke.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Paul tried to call George on the phone, but he wasn't successful.",premise,Paul wasn't successful.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,premise,The shark had better get away to safety fast!,hypothesis,"['entailment', 'not entailment']",entailment,entailment
The trophy doesn't fit into the brown suitcase because it is too large.,premise,The suitcase is too large.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",premise,Joe is 30 years older.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
The large ball crashed right through the table because it was made of steel.,premise,The large ball was made of steel.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,premise,The crutches should be better.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",premise,His friend Henry let him stack Grant and his family in his barn where they would dry.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",premise,Jane invited her to come out.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,premise,Bill is very cruel.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Tom said ""Check"" to Ralph as he took his bishop.",premise,"Tom said ""Check"" to Ralph as he took Ralph's bishop.",hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.",premise,"I sallied out for a bit of food, more to pass the time than because I wanted food.",hypothesis,"['entailment', 'not entailment']",entailment,not entailment
Joe paid the detective after he received the final report on the case.,premise,Joe received the final report on the case.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",premise,There were simply too many copies of the newsletter.,hypothesis,"['entailment', 'not entailment']",entailment,entailment
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,premise,He will be moving into The new house on Thursday.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",premise,He could not help Dad now.,hypothesis,"['entailment', 'not entailment']",entailment,not entailment
